Gene_symbol,Allele_symbol,Reference,PMID
Apip,Apip<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Apol9b,Apol9b<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Apoo,Apoo<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arap2,Arap2<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arhgap17,Arhgap17<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arhgap22,Arhgap22<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arhgef1,Arhgef1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arid1b,Arid1b<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Armc7,Armc7<tm1.1(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Armh3,Armh3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arpc1b,Arpc1b<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Arrdc5,Arrdc5<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Art4,Art4<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atad3a,Atad3a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atg16l2,Atg16l2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atp11a,Atp11a<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atp5e,Atp5e<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atp5f1,Atp5f1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atp8b2,Atp8b2<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atxn10,Atxn10<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Atxn3,Atxn3<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bach2,Bach2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bai1,Bai1<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bap1,Bap1<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Barhl1,Barhl1<tm1(EGFP_CreERT2)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bivm,Bivm<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bnip2,Bnip2<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bpgm,Bpgm<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bpifb1,Bpifb1<tm1e(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Brd2,Brd2<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Camkmt,Camkmt<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Camsap3,Camsap3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Capn11,Capn11<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Capza2,Capza2<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Card9,Card9<tm1a(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Casc4,Casc4<tm2b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Catip,Catip<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cbr2,Cbr2<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Ccdc127,Ccdc127<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ccdc159,Ccdc159<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ccdc18,Ccdc18<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ccdc6,Ccdc6<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Ccdc69,Ccdc69<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cdkn2aipnl,Cdkn2aipnl<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Celf4,Celf4<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cenpl,Cenpl<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cep250,Cep250<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cfap53,Cfap53<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cfap61,Cfap61<tm2a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Cgrrf1,Cgrrf1<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Chd9,Chd9<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Chil4,Chil4<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Chmp6,Chmp6<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Chst11,Chst11<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Chtop,Chtop<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
