Gene_symbol,Allele_symbol,Reference,PMID
Kctd10,Kctd10<Gt(RRG305)Byg>,Collins et al. 2019,PMID: 31371714
Kdm4b,Kdm4b<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kdm4c,Kdm4c<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Kdm4d,Kdm4d<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kdm5b,Kdm5b<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Kdm5b,Kdm5b<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Kdm7a,Kdm7a<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kera,Kera<em1Wtsi>,Collins et al. 2019,PMID: 31371714
Kera,Kera<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Kif13b,Kif13b<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kif18b,Kif18b<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kif21b,Kif21b<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Kif24,Kif24<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Kif3b,Kif3b<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klc2,Klc2<tm1e(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Klf17,Klf17<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klhl21,Klhl21<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klhl26,Klhl26<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Klhl30,Klhl30<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klhl42,Klhl42<tm1b(EUCOMM)Hmgu>,Collins et al. 2019,PMID: 31371714
Klk5,Klk5<tm2a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klk6,Klk6<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Klk9,Klk9<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klrb1a,Klrb1a<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Klrc1,Klrc1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Klrc2,Klrc2<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Kng2,Kng2<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
mir145,KO<no gene>,Collins et al. 2019,PMID: 31371714
mir145-mir146a,KO<no gene>,Collins et al. 2019,PMID: 31371714
mir146a,KO<no gene>,Collins et al. 2019,PMID: 31371714
mir145,KO<no gene>,Collins et al. 2019,PMID: 31371714
mir146a,KO<no gene>,Collins et al. 2019,PMID: 31371714
Kptn,Kptn<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Krt31,Krt31<tm1e(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Krt7,Krt7<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Krt76,Krt76<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Krt79,Krt79<tm2b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Krt83,Krt83<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
L3mbtl2,L3mbtl2<tm1e(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lacc1,Lacc1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lamc3,Lamc3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Laptm5,Laptm5<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lars,Lars<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lce1m,Lce1m<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lce3c,Lce3c<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ldha,Ldha<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ldhb,Ldhb<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Ldlrad4,Ldlrad4<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Leo1,Leo1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Leprot,Leprot<tm2a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Leprot,Leprot<tm2b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lgals7,Lgals7<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lgals7,Lgals7<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lix1l,Lix1l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lmna,Lmna<G609G>,Collins et al. 2019,PMID: 31371714
Lmnb1,Lmnb1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lmnb2,Lmnb2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lncenc1,Lncenc1<tm1.1(NCC)WCS>,Collins et al. 2019,PMID: 31371714
Lnx2,Lnx2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lonrf3,Lonrf3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lonrf3,Lonrf3<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lpar5,Lpar5<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lpcat3,Lpcat3<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Lpxn,Lpxn<tm1b(EUCOMM)Hmgu>,Collins et al. 2019,PMID: 31371714
Lrba,Lrba<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrguk,Lrguk<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrig1,Lrig1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrmp,Lrmp<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrpprc,Lrpprc<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc16a,Lrrc16a<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc23,Lrrc23<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc36,Lrrc36<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc67,Lrrc67<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc71,Lrrc71<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrc8d,Lrrc8d<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lrrk2,Lrrk2<tm1.1(KOMP)Mbp>,Collins et al. 2019,PMID: 31371714
Lsm10,Lsm10<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lsm11,Lsm11<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lsm14b,Lsm14b<tm1b(KOMP)Mbp>,Collins et al. 2019,PMID: 31371714
Ltbp1,Ltbp1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ltbp1,Ltbp1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lyplal1,Lyplal1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Lyrm9,Lyrm9<tm1a(KOMP)Mbp>,Collins et al. 2019,PMID: 31371714
Lztr1,Lztr1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Lzts1,Lzts1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Macrod1,Macrod1<em1Wtsi>,Collins et al. 2019,PMID: 31371714
Macrod1,Macrod1<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Mad2l2,Mad2l2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mad2l2,Mad2l2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Magee2,Magee2<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Magi2,Magi2<tm1Grnt>,Collins et al. 2019,PMID: 31371714
Mamstr,Mamstr<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Man2b2,Man2b2<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Maneal,Maneal<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Map2k2,Map2k2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Map2k7,Map2k7<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Map3k1,Map3k1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mapk1,Mapk1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mapk10,Mapk10<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mar-05,March5<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mast2,Mast2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Matn1,Matn1<tm1Goe>,Collins et al. 2019,PMID: 31371714
Matn3,Matn3<tm1Brd>,Collins et al. 2019,PMID: 31371714
Matn4,Matn4<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Mau2,Mau2<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mbd1,Mbd1<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Mbl2,Mbl2<em1Wtsi>,Collins et al. 2019,PMID: 31371714
Mbtd1,Mbtd1<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mcf2l,Mcf2l<tm1a(EUCOMM)Hmgu>,Collins et al. 2019,PMID: 31371714
Mcph1,Mcph1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mcph1,Mcph1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mdn1,Mdn1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mecr,Mecr<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Med19,Med19<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Med22,Med22<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Med23,Med23<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Medag,Medag<tm2b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Melk,Melk<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mep1a,Mep1a<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Metrnl,Metrnl<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mettl24,Mettl24<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mfrp,Mfrp<tm2a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mfsd2b,Mfsd2b<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mgat4c,Mgat4c<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mgst3,Mgst3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mgst3,Mgst3<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Micu2,Micu2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mier1,Mier1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
mir32,mir32<(tm1)Brd>,Collins et al. 2019,PMID: 31371714
mir96,mir96<Dmdo>,Collins et al. 2019,PMID: 31371714
mir96,mir96<tm2.2(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
mir96,mir96<Tm2.2WTSI>,Collins et al. 2019,PMID: 31371714
mir96,mir96<Tm2.2WTSI>,Collins et al. 2019,PMID: 31371714
mir96,mir96<tm3.2(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
mir96,mir96<Tm3.2WTSI>,Collins et al. 2019,PMID: 31371714
Mis18bp1,Mis18bp1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mkrn2,Mkrn2<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Mkrn2,Mkrn2<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mks1,Mks1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mlec,Mlec<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mms22l,Mms22l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Morc2a,Morc2a<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Mospd1,Mospd1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mpg,Mpg<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrap2,Mrap2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrm1,Mrm1<tm2a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mroh4,Mroh4<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mroh7,Mroh7<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mroh9,Mroh9<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrpl23,Mrpl23<tm2b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrpl23,Mrpl23<tm2b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrps21,Mrps21<tm1e(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mrps5,Mrps5<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Msl1,Msl1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Msl1,Msl1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Mst1,Mst1<tm1(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mta1,Mta1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mta3,Mta3<tm3a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mtfmt,Mtfmt<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mthfd1l,Mthfd1l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mtmr1,Mtmr1<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mtor,Mtor<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mtrf1l,Mtrf1l<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mtss1l,Mtss1l<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mx1,Mx1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mybphl,Mybphl<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mybphl,Mybphl<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Myd88,Myd88<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myh14,Myh14<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myh7b,Myh7b<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Myh9,Myh9<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myl10,Myl10<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Myl12b,Myl12b<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myl3,Myl3<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Myo10,Myo10<tm2(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Myo15,Myo15<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myo5a,Myo5a<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Myo6,Myo6<sv>,Collins et al. 2019,PMID: 31371714
Myo6,Myo6<sv>,Collins et al. 2019,PMID: 31371714
Myo7a,Myo7a<Hdb>,Collins et al. 2019,PMID: 31371714
Myo7a,Myo7a<sh1-6J>,Collins et al. 2019,PMID: 31371714
Myo7a,Myo7a<sh1-6J>,Collins et al. 2019,PMID: 31371714
Myo7a,Myo7a<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myo9a,Myo9a<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Myrfl,Myrfl<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Mysm1,Mysm1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Mysm1,Mysm1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Myt1l,Myt1l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
N6amt2,N6amt2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Naaa,Naaa<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nacad,Nacad<tm1(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nacc2,Nacc2<tm2b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nadk2,Nadk2<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Naga,Naga<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nat10,Nat10<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nbeal1,Nbeal1<tm2b(EUCOMM)Hmgu>,Collins et al. 2019,PMID: 31371714
Nbeal1,Nbeal1<tm2b(EUCOMM)Hmgu>,Collins et al. 2019,PMID: 31371714
Nbeal2,Nbeal2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ncapd2,Ncapd2<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Ncaph,Ncaph<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ncaph2,Ncaph2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ncf2,Ncf2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nctc1,Nctc1<tm1.1(NCC)WCS>,Collins et al. 2019,PMID: 31371714
Ndufb8,Ndufb8<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ndufs3,Ndufs3<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nebl,Nebl<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Necab2,Necab2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nek3,Nek3<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nek9,Nek9<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nelfe,Nelfe<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nf1,Nf1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nfkb1,Nfkb1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nfkbil1,Nfkbil1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nfya,Nfya<Gt(EUCJ0004f10)Hmgu>,Collins et al. 2019,PMID: 31371714
Ngrn,Ngrn<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nhlrc2,Nhlrc2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nhp2,Nhp2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Ninj2,Ninj2<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Ninl,Ninl<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nipa1,Nipa1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nipsnap3a,Nipsnap3a<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nkiras2,Nkiras2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nme4,Nme4<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nmrk1,Nmrk1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nom1,Nom1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Npat,Npat<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nploc4,Nploc4<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nr0b1,Nr0b1<em2(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Nr0b1,Nr0b1<em2(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Nrbp1,Nrbp1<tm3b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nrde2,Nrde2<tm2a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nsmf,Nsmf<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nsun2,Nsun2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nubpl,Nubpl<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nudt12,Nudt12<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nup85,Nup85<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nutm1,Nutm1<tm1b(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Nutm2,Nutm2<tm2b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Nxn,Nxn<tm1b(EUCOMM)Wtsi_Ieg>,Collins et al. 2019,PMID: 31371714
Oaf,Oaf<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Oard1,Oard1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Oard1,Oard1<em2Wtsi>,Collins et al. 2019,PMID: 31371714
Oas1g,Oas1g<tm3e(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Oasl2,Oasl2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Oaz1,Oaz1<tm2e(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ocm,Ocm<tm1e(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Ogdh,Ogdh<tm1e(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Ogfod1,Ogfod1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Oog2,Oog2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Optn,Optn<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Orc1,Orc1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Orc3,Orc3<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Os9,Os9<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Osbpl3,Osbpl3<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Osbpl9,Osbpl9<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Ostn,Ostn<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Ostn,Ostn<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Otub2,Otub2<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Otud6b,Otud6b<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Otud7b,Otud7b<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Oxr1,Oxr1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pabpc1l,Pabpc1l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pabpc4,Pabpc4<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pabpc4,Pabpc4<tm1e(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pabpn1l,Pabpn1l<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pacsin3,Pacsin3<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Palm,Palm<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Pam16,Pam16<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Paupar,Paupar<tm1.1(NCC)WCS>,Collins et al. 2019,PMID: 31371714
Pcdh15,Pcdh15<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Pced1a,Pced1a<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdcd2,Pdcd2<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdia4,Pdia4<tm1b (EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdk3,Pdk3<tm2a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdlim1,Pdlim1<em1(IMPC)Wtsi>,Collins et al. 2019,PMID: 31371714
Pds5b,Pds5b<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdxk,Pdxk<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdzd3,Pdzd3<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdzd8,Pdzd8<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdzd8,Pdzd8<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pdzk1,Pdzk1<tm2b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pear1,Pear1<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pepd,Pepd<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pex3,Pex3<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pfkfb4,Pfkfb4<tm1a(KOMP)Wtsi>,Collins et al. 2019,PMID: 31371714
Pfkl,Pfkl<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pfn1,Pfn1<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Pgap2,Pgap2<tm1b(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Phf20,Phf20<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
Phf20,Phf20<tm1a(EUCOMM)Wtsi>,Collins et al. 2019,PMID: 31371714
