request_id,pubmed_id,allele
5018,26337870,Lgals3<tm1a(EUCOMM)Wtsi>
3194,26365183,Tcf7<tm1a(EUCOMM)Wtsi>
2709,26385183,Asxl1<tm1e(EUCOMM)Wtsi>
2292,26402843,Hp1bp3<tm1a(EUCOMM)Wtsi>
5403,26420843,Whrn<tm1a(EUCOMM)Wtsi>
2542,26525805,Sox13<tm1a(EUCOMM)Wtsi>
3729,26579598,Plxnb2<tm1a(EUCOMM)Wtsi>
2371,26587753,Snap29<tm1a(EUCOMM)Wtsi>
2605,26590424,Ccnyl1<tm1a(EUCOMM)Wtsi>
4813,26619789,Rbfox3<tm1a(EUCOMM)Hmgu>
2889,26637354,Prmt1<tm1a(EUCOMM)Wtsi>
4001,26660102,Slc20a2<tm1a(EUCOMM)Wtsi>
2890,26665171,Prmt8<tm1a(EUCOMM)Wtsi>
5303,26697887,Pitrm1<tm1a(KOMP)Wtsi>
2139,26727661,Fto<tm1a(EUCOMM)Wtsi>
5393,26740663,Nptn<tm1a(EUCOMM)Hmgu>
2496,26747696,Snap29<tm1a(EUCOMM)Wtsi>
3247,26776516,Hdac3<tm1a(EUCOMM)Wtsi>
2984,26795843,Rcor2<tm1a(EUCOMM)Wtsi>
5150,26822507,Slc20a2<tm1a(EUCOMM)Wtsi>
5397,26828201,Mcub<tm1a(KOMP)Mbp>
3906,26829592,Mrap2<tm1a(EUCOMM)Wtsi>
5228,26868297,Prkcz<tm1a(EUCOMM)Wtsi>
5939,26876430,Atpif1<tm1a(EUCOMM)Wtsi>
3555,26878175,Jmjd1c<tm1a(EUCOMM)Wtsi>
1989,26903600,Smc3<tm1a(EUCOMM)Wtsi>
5217,26903602,Cgas<tm1a(EUCOMM)Hmgu>
2024,26925136,Cap2<tm1e(EUCOMM)Wtsi>
3602,26935106,Hira<tm1a(EUCOMM)Wtsi>
5150,26952749,Slc20a2<tm1a(EUCOMM)Wtsi>
2769,26968211,Plin2<tm1a(EUCOMM)Wtsi>
3946,26994494,Brdt<tm1a(EUCOMM)Wtsi>
2125,27013243,Setdb1<tm1a(EUCOMM)Wtsi>
5242,27032818,Card9<tm1a(EUCOMM)Hmgu>
3560,27048792,Ndfip2<tm1a(EUCOMM)Hmgu>
3162,27053112,Aldh3a2<tm1a(EUCOMM)Wtsi>
5733,27083047,Fgf22<tm1a(EUCOMM)Hmgu>
3251,27147664,Tnfrsf1b<tm1a(EUCOMM)Wtsi>
2172,27177310,Clk1<tm1a(EUCOMM)Wtsi>
3754,27203244,Ccnyl1<tm1a(EUCOMM)Wtsi>
2857,27207521,Prmt7<tm1a(EUCOMM)Wtsi>
5123,27210552,Syt1<tm1a(EUCOMM)Wtsi>
6258,27249171,Traf6<tm2a(EUCOMM)Wtsi>
2459,27302397,Tcf7l1<tm1a(EUCOMM)Wtsi>
5780,27357688,Spata25<tm1(KOMP)Wtsi>
5781,27357688,1700034J05Rik<tm1a(KOMP)Wtsi>
2777,27381259,Cpeb4<tm1a(EUCOMM)Wtsi>
4405,27444544,Brd7<tm2a(EUCOMM)Wtsi>
2292,27460150,Hp1bp3<tm1a(EUCOMM)Wtsi>
2033,27466704,Prmt1<tm1a(EUCOMM)Wtsi>
2292,27470444,Hp1bp3<tm1a(EUCOMM)Wtsi>
3587,27502165,Dock10<tm1a(EUCOMM)Hmgu>
2024,27507934,Cap2<tm1e(EUCOMM)Wtsi>
2448,27518902,Hira<tm1a(EUCOMM)Wtsi>
4612,27524794,Cyfip2<tm1a(EUCOMM)Wtsi>
5018,27550173,Lgals3<tm1a(EUCOMM)Wtsi>
5778,27695001,Trim29<tm1a(EUCOMM)Wtsi>
4813,27701470,Rbfox3<tm1a(EUCOMM)Hmgu>
5756,27709605,Irf5<tm1e(EUCOMM)Wtsi>
3696,27721407,Hdac1<tm1a(EUCOMM)Wtsi>
6162,27826253,Fgf10<tm1a(EUCOMM)Wtsi>
5624,27827819,Prmt5<tm2c(EUCOMM)Wtsi>
4231,27857073,Usp21<tm1a(EUCOMM)Wtsi>
1860,27935040,Prmt8<tm1a(EUCOMM)Wtsi>
4001,27943094,Slc20a2<tm1a(EUCOMM)Wtsi>
5716,28007585,Prrt2<tm1a(KOMP)Wtsi>
3194,28018990,Tcf7<tm1a(EUCOMM)Wtsi>
5806,28026023,Aldh1b1<tm2a(EUCOMM)Wtsi>
5539,28031293,Cib2<tm1a(EUCOMM)Wtsi>
1823,28041877,Nsun2<tm1a(EUCOMM)Wtsi>
7182,28045099,Gsdme<tm1b(KOMP)Wtsi>
6153,28049716,Sfxn3<tm1b(KOMP)Wtsi>
3251,28052249,Tnfrsf1b<tm1a(EUCOMM)Wtsi>
5183,28089251,Mapkbp1<tm1a(EUCOMM)Hmgu>
2046,28104815,Ttll3<tm1a(EUCOMM)Wtsi>
5590,28128235,Pld3<tm1e(EUCOMM)Wtsi>
2408,28238654,Prmt5<tm2a(EUCOMM)Wtsi>
4741,28254523,Aldh16a1<tm1a(EUCOMM)Wtsi>
3466,28322331,Ptpn2<tm1a(EUCOMM)Wtsi>
3878,28343629,Otud6b<tm1a(EUCOMM)Wtsi>
5123,28363983,Syt1<tm1a(EUCOMM)Wtsi>
2736,28369354,Mecr<tm1a(EUCOMM)Wtsi>
3416,28395340,Adar<tm1a(EUCOMM)Wtsi>
1989,28424523,Smc3<tm1a(EUCOMM)Wtsi>
5395,28488815,Pdpn<tm1a(EUCOMM)Wtsi>
3906,28499989,Mrap2<tm1a(EUCOMM)Wtsi>
3694,28507225,Ripk4<tm1a(EUCOMM)Wtsi>
2918,28507547,Dock10<tm1a(EUCOMM)Hmgu>
5594,28530678,Sap130<tm1a(KOMP)Mbp>
2466,28578315,Agpat3<tm1a(EUCOMM)Wtsi>
